ID_CANDIDATO;REMUN_BRUTA_ANUAL_PUBLICA;REMUN_BRUTA_ANUAL_PRIVADA;RENTA_BRUTA_ANUAL_INDIV_PUBLICA;RENTA_BRUTA_ANUAL_INDIV_PRIVADA;OTROS_INGRESOS_ANUALES_PUBLICA;OTROS_INGRESOS_ANUALES_PRIVADA;TOTAL_REMUN_BRUTA_ANUAL;TOTAL_RENTA_BRUTA_ANUAL;TOTAL_OTROS_INGRESOS_ANUALES;TOTAL_GENERAL
158456;0;0;0;3000;0;8016;0;3000;8016;11016
160452;0;0;0;12000;0;0;0;12000;0;12000
160453;0;0;0;48000;0;0;0;48000;0;48000
160901;0;21600;0;0;0;0;21600;0;0;21600
160902;0;12000;0;0;0;0;12000;0;0;12000
158628;36000;0;0;0;0;0;36000;0;0;36000
158629;12000;0;0;0;0;0;12000;0;0;12000
161158;0;0;0;28476;0;0;0;28476;0;28476
161159;0;3929.2400000000002;0;0;16500;0;3929.24;0;16500;20429.24
160098;0;0;0;24000;0;0;0;24000;0;24000
160099;43200;0;0;0;0;0;43200;0;0;43200
160100;0;0;15000;9300;0;0;0;24300;0;24300
158881;0;0;6000;15000;0;0;0;21000;0;21000
158882;0;0;24000;6000;0;0;0;30000;0;30000
160220;42000;0;0;60000;0;36000;42000;60000;36000;138000
160221;0;0;72000;0;0;12000;0;72000;12000;84000
160222;28560;0;0;30000;0;6000;28560;30000;6000;64560
160633;0;0;0;32000;0;0;0;32000;0;32000
160634;92400;0;0;8000;0;3600;92400;8000;3600;104000
160635;18000;0;0;0;36000;0;18000;0;36000;54000
160401;5000;0;0;5000;0;0;5000;5000;0;10000
160402;7560;0;0;0;0;0;7560;0;0;7560
159563;0;33516;0;0;0;109200;33516;0;109200;142716
159564;28800;0;0;0;0;10000;28800;0;10000;38800
161168;55200;0;0;0;0;0;55200;0;0;55200
158218;0;0;0;0;0;0;0;0;0;0
158219;0;0;0;72000;0;0;0;72000;0;72000
158220;0;0;6800;0;0;0;0;6800;0;6800
159631;12600;3500;0;0;0;0;16100;0;0;16100
160677;0;67500;0;0;0;0;67500;0;0;67500
160678;47200;0;0;0;0;0;47200;0;0;47200
160679;0;34000;0;16000;0;0;34000;16000;0;50000
160680;0;5000;0;14400;0;60000;5000;14400;60000;79400
160681;32200;0;0;0;0;0;32200;0;0;32200
160682;0;0;0;72000;0;0;0;72000;0;72000
157861;70000;0;0;0;0;0;70000;0;0;70000
157862;35000;0;0;0;0;0;35000;0;0;35000
157863;0;54813;36465;0;0;0;54813;36465;0;91278
157864;96602;85000;0;0;0;0;181602;0;0;181602
157865;3609.7200000000003;0;0;0;2400;0;3609.72;0;2400;6009.72
161315;42000;24000;0;0;0;24000;66000;0;24000;90000
161316;0;0;0;20000;0;10000;0;20000;10000;30000
161317;0;0;13000;15000;0;0;0;28000;0;28000
161319;0;30744;0;0;0;0;30744;0;0;30744
161320;0;0;0;930;0;0;0;930;0;930
159380;0;0;43900;0;0;0;0;43900;0;43900
159381;1330;0;0;0;0;0;1330;0;0;1330
159382;0;0;30000;0;0;0;0;30000;0;30000
158248;28560;0;0;0;0;0;28560;0;0;28560
158249;33071.91;75446.09;10250;17869;0;0;108518;28119;0;136637
158250;34204.68;0;0;0;0;0;34204.68;0;0;34204.68
158252;2400;0;0;0;0;0;2400;0;0;2400
158253;0;0;0;30000;0;0;0;30000;0;30000
158462;25555.56;0;0;0;0;0;25555.56;0;0;25555.56
160468;128019;0;0;500;0;8000;128019;500;8000;136519
160469;0;30000;0;0;0;0;30000;0;0;30000
160470;0;0;0;0;0;180000;0;0;180000;180000
160473;28664.600000000002;0;0;0;0;0;28664.6;0;0;28664.6
159598;0;0;6000;17825;0;0;0;23825;0;23825
159599;0;24000;0;0;0;0;24000;0;0;24000
159601;84000;0;0;0;0;0;84000;0;0;84000
159602;27825;0;0;0;0;0;27825;0;0;27825
159603;33361.56;71786.44;0;0;0;0;105148;0;0;105148
161252;0;0;0;18000;0;0;0;18000;0;18000
161253;0;0;0;24000;0;0;0;24000;0;24000
161254;13800;0;0;8400;0;0;13800;8400;0;22200
161256;63000;0;0;0;0;0;63000;0;0;63000
161334;66000;80000;0;0;0;20000;146000;0;20000;166000
161335;0;0;0;70000;0;85000;0;70000;85000;155000
161336;0;84240;0;35400;0;0;84240;35400;0;119640
161337;0;18534;0;60600;0;56400;18534;60600;56400;135534
161338;0;36000;0;0;0;0;36000;0;0;36000
161339;0;0;0;30000;0;0;0;30000;0;30000
160973;0;0;0;0;0;60000;0;0;60000;60000
160975;0;0;0;50000;0;0;0;50000;0;50000
160976;0;3500;0;1000;0;0;3500;1000;0;4500
160977;0;10900;0;0;0;0;10900;0;0;10900
158808;0;0;0;48000;0;0;0;48000;0;48000
158809;0;0;0;19200;0;0;0;19200;0;19200
160715;16800;0;0;0;0;0;16800;0;0;16800
160717;0;0;10000;0;0;0;0;10000;0;10000
160718;13812;0;0;0;0;4800;13812;0;4800;18612
159289;34800;0;0;0;0;0;34800;0;0;34800
159290;30901.49;20627.78;0;0;0;29760;51529.27;0;29760;81289.27
159291;42780;0;0;0;0;0;42780;0;0;42780
159292;8424;0;0;18000;0;0;8424;18000;0;26424
159293;6000;0;0;0;0;0;6000;0;0;6000
159294;0;0;0;18000;0;15000;0;18000;15000;33000
159535;0;54000;0;0;0;0;54000;0;0;54000
159538;0;54000;0;0;0;0;54000;0;0;54000
159539;116000;0;0;0;0;0;116000;0;0;116000
160142;10584;5500;0;0;0;0;16084;0;0;16084
160142;10584;5500;0;0;0;0;16084;0;0;16084
160143;0;25000;0;0;0;0;25000;0;0;25000
160144;0;20000;0;0;0;0;20000;0;0;20000
160146;22000;0;0;0;0;0;22000;0;0;22000
160147;30000;0;0;0;0;0;30000;0;0;30000
159580;0;0;0;10800;0;0;0;10800;0;10800
159581;0;0;50000;0;0;0;0;50000;0;50000
159582;0;0;0;17100;0;0;0;17100;0;17100
159583;29800;0;0;0;0;0;29800;0;0;29800
159584;24750;0;0;0;0;0;24750;0;0;24750
159585;31200;0;0;0;0;0;31200;0;0;31200
159495;0;9500;0;0;0;0;9500;0;0;9500
159496;0;0;33600;0;0;60000;0;33600;60000;93600
159497;0;12276;18500;7650;0;10000;12276;26150;10000;48426
159498;102900;0;0;0;0;0;102900;0;0;102900
160188;0;10800;0;0;0;0;10800;0;0;10800
160189;2176.57;0;0;0;0;75427.32;2176.57;0;75427.32;77603.89
