ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
157851;UNIVERSIDAD CATOLICA DE SANTA MARIA;MAESTRÍA EN DERECHO CONSTITUCIONAL;SI;SI
157853;UNIVERSIDAD DE NOTTINGHAM;NUTRICION ANIMAL;SI;SI
157855;UNIVERSIDAD CESAR VALLEJO;GESTIÓN PÚBLICA;SI;SI
158153;UNIVERSIDAD CONTINENTAL;MAESTRÍA EN GERENCIA PÚBLICA;;NO
158156;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;MAESTRIA EN GESTION Y ADMINISTRACION DE LA EDUCACION;SI;SI
159520;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;GESTIÓN AMBIENTAL;SI;
158871;UNIVERSIDAD CATOLICA DE SANTA MARIA;GESTION EN LA FUNCION DOCENTE;SI;
158873;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;MAESTRIA EN PS.JURIDICA FORENSE;;NO
158875;UNIVERSIDAD CATÓLICA SANTA MARÍA;DERECHO CIVIL;;NO
160463;UNIVERSITE DE LAUSANNE - SUIZA;ADMINISTRACION PUBLICA;SI;SI
160466;AUTONOMA DE MADRID;CALIDAD Y MEJORA DE LA EDUCACION;SI;SI
160467;UNIVERSIDAD NACIONAL SAN AGUSTIN;SEGURIDAD Y MEDIO AMBIENTE;SI;SI
160090;UNIVERSIDAD CATÓLICA DEL PERÚ PUCP;MAESTRÍA EN CIENCIA POLÍTICA Y GOBIERNO;;NO
160091;UNIVERSIDAD CATÓLICA SANTA MARÍA;DERECHO CONSTITUCIONAL;SI;SI
160092;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;GERENCIA DE ESTADO Y ADMINISTRACIÓN PUBLICA;SI;
158105;UNIVERSIDAD NACIONAL DE SAN AGUSTÍN;CIENCIAS ECONÓMICAS CON MENCIÓN EN PROYECTOS;SI;SI
161008;UNIVERSIDAD POLITECNICA DE CATALUNYA;MASTER EN DIRECCION Y GESTION FINANCIERA;SI;SI
161009;UNIVERSIDAD NACIONAL DE SAN AGUSTÍN;GERENCIA DE ESTADO Y ADMINISTRACIÓN PÚBLICA;SI;
160911;UNIVERSIDAD CATÓLICA SANTA MARÍA;GESTIÓN PUBLICA;;NO
160916;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;SEGURIDAD Y MEDIO AMBIENTE;SI;SI
159225;UNIVERSIDAD ABAD OLIVA;INVESTIGACION JURIDICA;SI;
159229;UNIVERSIDAD PARTICULAR ALAS PERUANAS;DERECHO DE LA INTEGRACION;SI;SI
160732;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;MAESTRIA EN DERECHO CONSTITUCIONAL;SI;SI
158514;UNIVERSIDAD ALAS PERUANAS;MAESTRIA EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;SI;SI
158515;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;ADMINISTRACIÓN DE EMPRESAS;SI;SI
158517;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;SEGUNDA ESPECIALIDAD CIRUJANO GENERAL;SI;SI
158519;UNIVERSIDAD NACIONAL DE SAN AGUSTIN;MAESTRIA EN CIENCIAS CON MENCION EN COMUNICACIÓN;SI;SI
158094;UNIVERSIDAD CATÓLICA DE SANTA MARÍA;MAGISTER EN INGENIERÍA DE SISTEMAS;SI;SI
158096;UNIVERSIDAD NACIONAL DE SAN AGUSTÍN;DERECHO PROCESAL;;NO
158098;UNIVERSIDAD NACIONAL DE SAN AGUSTÍN;SALUD PUBLICA;SI;SI
158992;UNIVERSIDAD CESAR VALLEJO;ADMINISTRACIÓN DE LA EDUCACIÓN;SI;SI
158993;UNIVERSIDAD CESAR VALLEJO;GESTIÓN PÚBLICA;;NO
157859;UNIVERSIDAD CÉSAR VALLEJO;DOCENCIA Y GESTIÓN EDUCATIVA;SI;SI
159421;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;ANTROPOLOGÍA SOCIAL;SI;SI
159422;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DOCTORADO EN CIENCIAS DE LA SALUD;SI;SI
161468;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRIA EN GESTION GUBERNAMENTAL;SI;SI
158456;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA  DE ICA;DERECHO CIVIL Y COMERCIAL;;NO
160901;UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA;GESTIÓN PÚBLICA;;NO
158628;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;ARQUEOLOGIA;SI;SI
161158;UNIVERSIDAD CESAR VALLEJO;MAESTRIA EN GESTION PUBLICA;SI;SI
160099;UNIVERSIDAD CESAR VALLEJO;ADMINISTRACION DE LA EDUCACION;SI;SI
160100;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;GESTIÓN PÚBLICA;SI;SI
158881;UNIVERSIDAD DE NAVARRA;INTERVENCION EDUCATIVA Y PSICOLOGICA;SI;SI
160220;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;SALUD PUBLICA;;NO
160221;UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA;GESTION EMPRESARIAL;SI;SI
