ID_CANDIDATO;TIPO_BIEN;VALOR
160149;DEPARTAMENTO;95000
160149;DEPARTAMENTO;95000
160149;AZOTEA;30000
160151;TERRENO;25000
160151;TERRENO;62990
160151;TERRENO;89650
160981;CASA;35000
161839;TERRENO;1100
160060;DEPARTAMENTO;112860.51000000001
160061;CASA;150000
160062;CASA;92093.93000000001
160062;CASA;35391.25
161646;INMUEBLE;60000
161648;CASA;80000
161347;CASA;32490.23
161347;CASA;12000
161347;CASA;504147.96
161349;CASA;500
161349;LOTE;30
161349;CASA;0
160275;INMUEBLE;500000
160278;ICA 02006062 22071106 REGISTRO;500000
160278;INMUEBLE;500000
159761;CASA;70000
159762;VIVIENDA;70000
159763;CASA;6082880
159823;CASA;126954.76000000001
159823;TERRENO;2550
158190;DEPARTAMENTO;100000
158190;DEPARTAMENTO;500000
158190;LOCAL;600000
158190;TERRENO;20000
158190;TERRENO (VIA);20000
158190;TERRENO;30000
158190;TERRENO;60000
158190;COCHERA;30000
158931;RURAL;117150.8
158931;RURAL;70815.49
158931;URBANO;45951.36
158931;URBANO;183798
158932;CASA;114228
158932;LOCAL;145809
158934;VIVIENDA;75000
158934;VIVIENDA;350000
160921;INMUEBLE;215000
160924;INDEPENDIENTE;15593.2
157892;CASA;20000
157892;CASA;264000
157892;DPTO;600000
157892;TERRENO AGRICOLA;15000
157892;TIENDA COMERCIAL;150000
157893;PREDIO;610147.9
157893;PREDIO;235517.4
157893;PREDIO;347972.88
157893;PREDIO;303209.02
157893;PREDIO;204775.2
157893;PREDIO;1383791.31
157893;PREDIO;89347.90000000001
157893;PREDIO;155159.6
157895;CASA;80000
157896;CASA;200000
157896;TERRENO;150000
157896;TERRENO;150000
158984;DEPARTAMENTO;74900
157986;INMUEBLE;80000
159706;VIVIENDA;40037.69
159706;TERRENO;13845
159706;TERRENO;8000
159706;ESTACIONAMIENTO;6014.39
159706;VIVIENDA;110898.75
159707;VIVIENDA;11360
159707;TERRENO;10000
159707;TERRENO;30000
159707;VIVIENDA;94097.49
159151;CASA;225818.94
159152;CASA;29211.7
159153;CASA;5886
160499;DEPARTAMENTO;3959.84
160499;TERRENO;2200
160499;DEPÓSITO;2244.67
160499;COCHERA;4070.81
160501;TERRENO AGRÍCOLA;34500
160501;TERRENO URBANO;50000
160501;TERRENO URBANO;40000
161513;INMUEBLE;38653
160443;TERRENO CASA;120000
160446;CASA;500000
