ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
159194;CENTRO EDUCATIVO TECNICO PRODUCTIVO KELLUYCO;OFIMATICA - OPERACION DE COMPUTADORAS;SI
160333;IESTP MANUEL NUÑEZ BUTRON;COMPUTACION E INFORMATICA;SI
159445;ISETUR PUNO;GUIA OFICIAL DE TURISMO;SI
158431;INSTITUTO SUPERIOR TECNOLÓGICO MANUEL NÚÑEZ BUTRON JULIACA;TECNICO EN LABORATORIO CLINICO;SI
159970;ISTP MANUEL NUÑEZ BUTRON;COMPUTACIÓN E INFORMÁTICA;SI
159971;INSTITUTO SUPERIOR TECNOLOGICO PEDRO P DIAZ;AGRONOMIA;NO
160213;INSTITUTO DANIEL ALCIDES CARRION;ENFERMERIA GERIATRICA;SI
158888;DAIPER;COMPUTACIÓN E INFORMÁTICA;SI
157936;ITSP NOR ORIENTAL DE LA SELVA;CONTABILIDAD;SI
158584;INSTITUTO SUPERIOR TECNOLOGICO  PUBLICO MANUEL SEOANE CORRALES;ENFERMERA TECNICA;SI
158049;IST NOS;ELECTRICIDAD;SI
158050;GLOBAL MINING MACRO CENTER;OPERADORA DE MAQUINARIA PESADA;SI
159466;INSTITUTO SUPERIOR TECNOLÓGICO  PRIVADO  FELIX DE LA ROSA REATEGUI  GAVIRA;TÉCNICA EN CONTABILIDAD;SI
159150;ADEX;COMERCIO EXTERIOR;SI
158692;INSTITUTO SUPERIOR TECNOLOGICO NOR ORIENTAL DE LA SELVA;CONSTRUCCION CIVIL;SI
160764;INSTITUTO SUPERIOR TECNOLOGICO BLAIS PASCAL;COMPUTACION E INFORMATICA;NO
160764;INSTITUTO SUPERIOR TECNOLOGICO;COMPUTACION E INFORMATICA;NO
161560;SENATI;CONFECCION TEXTIL INDUSTRIAL;SI
160162;COLEGIO DE CONTADORES PUBLICOS DE SAN MARTIN;AUXILIAR CONTABLE;SI
160162;COLEGIO DE CONTADORES PUBLICOS DE SAN MARTIN;AUXILIAR CONTABLE;SI
160163;IDAC;TECNICO EN ENFERMERIA;SI
160237;ESDIT;GASTRONOMIA Y BARTENDER;SI
159813;INSTITUTO SUPERIOR TECNOLÓGICO FRANCISCO DE PAULA GONZÁLES VIGIL;ELECTRICIDAD;SI
159881;ACADEMIA ANDRES BELLO;TÉCNICO EN ENFERMERÍA;SI
159475;INSTITUTO SUPERIOR TECNOLOGICO PARTICULAR FRANCISCO DE PAULA GONZALES VIGIL;ELECTRICIDAD;SI
159477;CENTRO PERUANO DE ESTUDIOS BANCARIOS;ADMINISTRACION BANCARIA;SI
157943;CENTRO BASE 07 DE ENERO CORRALES;TÉCNICO AGROPECUARIO;SI
161807;ESEP CAP FAP JOSE ABELARDO QUIÑONEZ;BACHILLER ECONOMIA Y ADMINISTRACION;SI
160592;ADEX;COMERCIO EXTERIOR;SI
159444;TELESUP;COMPUTACIÓN E INFORMÁTICA;NO
161359;INSTITUTO SUPERIOR TECNOLOGICO NO ESTATAL COOPERATIVO "CHAN CHAN";FISIOTERAPIA Y REHABILITACIÓN;SI
158711;ESCUELA DE SUB OFICIALES;OFICIAL PNP GUARDIA GS (RETIRADO);SI
160072;INSTITUTO SUPERIOR PEDAGÓGICO JOSE ANTONIO ENCINAS;EDUCACIÓN PRIMARIA;SI
159158;INSTITUTO SUPERIOR TECNOLÓGICO CAP FAP JOSÉ ABELARDO QUIÑÓNEZ";COMPUTACIÓN E INFORMÁTICA;SI
159700;INSTITUTO DE EXTENCION UNIVERSITARIA UNIVERSIDAD SAN MARTIN DE PORRAS;LOCUCION DE RADIO Y TELEVISION;SI
159510;INSTITUTO JOSE PARDO;MECANICA AUTOMOTRIZ;SI
161863;IST CAP FAP "JOSE ABELARDO QUIÑONES";TÉCNICA EN ENFERMERÍA;SI
161613;CELAEO;RECURSOS HIDRICOS;SI
161157;INSTITUTO SUPERIOR TECNOLÓGICO JOSÉ ABELARDO QUIÑONES;CONTABILIDAD;NO
161188;CENECAPE SAN ISIDRO;MECANOGRAFÍA;SI
161507;UNIVERSIDAD NACIONAL DEL CALLAO;TECNICO EN COMPUTACION;SI
161508;COMPUTRON;ADMINISTRACION;NO
158856;INSTITUTO SUPERIOR TECNOLOGICO SIMON BOLIVAR;TECNOLOGIA DE ANALIS QUIMICO;SI
158857;IDAT;COMPUTACION E INFORMATICA;NO
158859;CEO VIRGEN DEL CARMEN;SECRETARIADO;NO
158463;INSTITUTO VICTOR ANDRES BELAUNDE;SECRETARIADO JURIDICO;NO
158464;POLITECNICO NACIONAL DEL CALLAO;MECÁNICA DE PRODUCCIÓN;SI
158466;INTECI;PASTELERÍA Y PANADERÍA;NO
160474;ESCUELA NACIONAL DE ESTUDIOS GUBERNAMENTALES;ADMINISTRACION Y GESTION MUNICIPAL;SI
160475;CEVATEC;OFIMATICA;SI
161707;ESEP-LIMA ARZOBISPO LOAYZA;PROTESIS DENTAL;SI
159792;BETA TECH;OFFICE XP DISEÑO GRÁFICO;SI
158919;INSTITUTO SUPERIOR TÉCNICO ARGENTINA;CONTABILIDAD;SI
158921;IPAE;ADMINISTRACIÓN;NO
158922;INSTITUTO COLUMBIA;AVIACIÓN COMERCIAL;SI
161032;IDAT;DISEÑO GRAFICO;SI
159357;ESCUELA NACIONAL DE LA MARINA MERCANTE;MAQUINAS;SI
158966;ESEP LEONCIO PRADO;CONSTRUCCION Y TOPOGRAFIA;SI
158968;INSTITUTO RICARDO PALMA;TECNICA LABORATORIO;SI
158913;CEO SAN PABLO;COSMETOLOGIA;NO
161596;SELENE;COSMIATRA;SI
161597;IST SIMON BOLIVAR;CONSTRUCCION CIVIL;NO
157960;IESPOO;TECNICO OPTICO;SI
158530;SIMON BOLIVAR;TECNICA EN ENFERMERIA;SI
161268;CEO "SAN MARTIN DE PORRES";MECANICA VEHICULOS MENORES;SI
160581;INSTITUTO NO ESTATAL TOKIO;COMPUTACION INFORMATICA;SI
158939;ALFONSO HUAPAYA CABRERA;DIRECTOR TÉCNICO - FUTBOL;SI
159342;POLICIA NACIONAL DEL PERU;SUB OFICIAL DE POLICIA;SI
159344;INSTITUTO SUPERIOR TECNOLOGICO CONTINENTAL DE HUANCAYO;COMPUTACION E INFORMATICA;NO
160280;INSTITUTO LE CORDON BLEU PERU;GESTIÓN DE RESTAURANTES;SI
160281;INSTITUTO SUPERIOR TECNOLÓGICO  PÚBLICO "SUIZA";ADMINISTRACIÓN DE EMPRESAS;NO
