ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
158733;UNIVERSIDAD SAN IGNACIO DE LOYOLA;GESTIÓN PUBLICA;SI;SI
158734;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;GERIATRIA;SI;SI
158736;UNIVERSIDAD PRIVADA DEL NORTE;MAESTRÍA INTERNACIONAL EN ADMINISTRACIÓN;SI;
158738;UNIVERSIDAD CESAR VALLEJO;MAESTRÍA GESTIÓN DE LOS SERVICIOS DE LA SALUD;SI;SI
158741;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRIA EN DERECHO PENAL;SI;SI
158751;UNIVERSIDAD FEDERICO VILLAREAL;MAESTRIA EN DERECHO CIVIL Y COMERCIAL;SI;SI
158752;UNIVERSIDAD CESAR VALLEJO;ADMINISTRACIÓN DE LA EDUCACIÓN;SI;SI
158757;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MATEMATICA APLICADA - MEDIO  AMBIENTE Y DESARROLLO SOSTENIBLE;SI;SI
158758;UNIVERSIDAD SAN MARTIN DE PORRES;GESTION PUBLICA;;NO
158631;UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION;MAESTRIA EN GESTION PUBLICA;SI;SI
158181;UNIVERSIDAD NACIONAL DEL CALLAO;MAESTRIA EN ADMINISTRACION ESTRATEGICA DE EMPRESAS;SI;SI
158182;UNIVERSIDAD ALAS PERUANAS;MAESTRIA EN GESTION PUBLICA Y CONTROL GUBERNAMENTAL;SI;SI
158072;UNIVERSIDAD JOSE FAUSTINO SANCHEZ CARRION;ADMINISTRACIÓN ESTRATÉGICA;;NO
159886;UNIVERSIDAD CESAR VALLEJO;UNIVERSIDAD CAYETANO HEREDIA;SI;SI
159887;UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION;GESTIN PUBLICA;SI;
159888;UNIVERSIDAD CESAR VALLEJO;ADMINISTRACION EDUCATIVA;SI;
160552;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;MAESTRÍA EN GOBIERNO Y GESTIÓN PUBLICA;SI;SI
160553;UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE;EDUCACION;SI;
160555;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;MAGISTER OF SCIENCE RECURSOS HIDRICOS;SI;SI
161270;UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN;ECOLOGÍA Y GESTIÓN AMBIENTAL;;NO
161271;UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL;MAESTRÍA EN INVESTIGACIÓN Y DOCENCIA UNIVERSITARIA;SI;SI
161272;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;MAESTRÍA EN DERECHO CONSTITUCIONAL;SI;SI
161758;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;GERENCIA EDUCATIVA ESTRATEGICA;SI;SI
160999;UNIVESIDAD NACIONAL MAYOR DE SAN MARCOS;ECONOMIA CON MENCION EN GESTION PUBLICA;SI;
161000;ESCUELA DE POST GRADO VILLARREAL;GESTION DE POLITICAS PUBLICAS;;NO
159614;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRÍA EN DERECHO DEL TRABAJO Y LA SEGURIDAD SOCIAL;SI;SI
159615;UNMSM;GESTIÓN PÚBLICA;;NO
159617;UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU;GESTIÓN PUBLICA;;NO
160706;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DERECHO PENAL;SI;SI
