ID_CANDIDATO;TIPO_BIEN;VALOR
159929;LOCAL;242833.73
159930;TERRENO;8000
159930;OFICINA;50000
159930;LOCAL;50000
159932;VIVIENDA;640364
159932;VIVIENDA;69520
159932;TERRENO RUSTICO;4683973
159932;TERRENO RUSTICO;662660
159934;DEPARTAMENTO;250000
159934;COCHERA;5000
159934;ESTACIONAMIENTO;5000
159934;DEPARTAMENTO;350000
159934;ESTACIONAMIENTO;10000
159934;ESTACIONAMIENTO;10000
159934;DEPOSITO;5000
159934;DEPOSITO;5000
159937;DEPOSITO;2276.46
159937;ESTACIONAMIENTO;27233.05
159937;DEPARTAMENTO;253102.53
159937;DEPARTAMENTO;116322.35
159937;ESTACIONAMIENTO;12852.77
159937;DEPARTAMENTO;54856.19
159937;ESTACIONAMIENTO;14725.17
159937;DEPARTAMENTO;50671.87
159937;ESTACIONAMIENTO;23936.37
159937;TERRENO;36000
159937;OFICINA;502398
159939;VIVIENDA;217000
159939;DEPARTAMENTO;2000000
159939;DEPARTAMENTO;838000
159939;DEPARTAMENTO;670000
159944;CASA HABITACIÓN;346043.12
159944;DEPARTAMENTO;62442.4
159945;DEPARTAMENTO;825000
159945;PALCO;35000
159945;TERRENO;240000
159946;ESTACIONAMIENTO;8527.89
159946;ESTACIONAMIENTO;8517.7
159946;DEPOSITO;3764.85
159946;DEPARTAMENTO;164977.74
159946;ESTACIONAMIENTO;18369.46
159946;ESTACIONAMIENTO;16884.23
159946;DEPOSITO;5544.35
159946;OFICINA;187562.99
159946;OFICINA;171397.67
159946;OFICINA;80000
159946;ESTACIONAMIENTO;30000
159950;DEPARTAMENTO;470000
159953;TERRENO;15000
159953;CASA;1500000
159954;DEPARTAMENTO;68717
159954;TERRENO;30000
159954;TERRENO;77158
159954;TERRENO;1118
159954;TERRENO;36395.12
159954;TERRENO;7279.02
159954;TERRENO;11352.36
159955;CASA;60984.5
159960;CASA;300000
159962;DEPARTAMENTO;77969.65000000001
159962;CASA HABITACION;13183.28
159963;ESTACIONAMIENTO;15000
159963;ESTACIONAMIENTO;15000
159963;DEPOSITO;8000
159963;CASA;36000
161034;CASA;242720
161035;DEPARTAMENTO;550000
161035;ESTACIONAMIENTO;50000
161035;ESTAC 2 - SEMISOTANO;7000
161037;CASA;177843.32
161037;CASA;74258.06
