ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
161192;PARTIDO POLÍTICO CONTIGO;PRESIDENTE DIRECCIÓN POLÍTICA;2019;HASTA LA ACTUALIDAD
161193;PARTIDO POLÍTICO CONTIGO;SECRETARIO GENERAL;2019;HASTA LA ACTUALIDAD
161193;PARTIDO POLÍTICO PERUANOS POR EL KAMBIO;SECRETARIO GENERAL;2012;2018
161194;PARTIDO POLÍTICO PERU POSIBLE;SECRETARIO NACIONAL DE ORGANIZACIÓN;2009;2011
161194;PARTIDO POLÍTICO CONTIGO;SECRETARIO NACIONAL DE ORGANIZACIÓN;2015;HASTA LA ACTUALIDAD
161195;PARTIDO POLÍTICO CONTIGO;MIEMBRO COMITE POLÍTICO;2017;HASTA LA ACTUALIDAD
161200;PARTIDO POLÍTICO CONTIGO;MIEMBRO DEL COMITÉ NACIONAL DE POLÍTICA;2017;2019
161202;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;MIEMBRO DEL TRIBUNAL NACIONAL ELECTORAL;2014;2014
161204;OTRO;SECRETARIO DE CAPACITACIÓN Y FORMACIÓN POLÍTICA;2015;2016
161208;PERUANOS POR EL KAMBIO;DIRIGENTE;2016;2018
161209;PARTIDO POLÍTICO PERU POSIBLE;SECRETARIA DISTRITAL;2005;2010
161211;PERUANOS POR EL KAMBIO;SUB SECRETARIA DE ORGANIZACION DE LA SECRETARIA DE MIRAFLORES;2017;2019
160240;PARTIDO POLÍTICO PARTIDO DESCENTRALISTA FUERZA SOCIAL;FUNDADOR - MIEMBRO DEL COMITE DE HUACHO;2010;2012
160241;PARTIDO POLÍTICO PERU LIBRE;SECRETARIA DE ORGANIZACION SUR;2019;HASTA LA ACTUALIDAD
160241;PARTIDO POLÍTICO PARTIDO RENACIMIENTO ANDINO;ADHERENTE FUNDACIONAL - MIEMBRO DE CONVENCION NACIONAL EXTRAORDINARIA;2004;2007
160244;PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO;SECRETARIO DE ORGANIZACION  COMITE VENEZUELA;2008;2010
160245;PARTIDO POLÍTICO PERU LIBRE;SECRETARIA GENERAL DISTRITAL;2019;HASTA LA ACTUALIDAD
160251;PARTIDO POLÍTICO PERU LIBRE;SECRETARIO DE ORGANIZACION CER LIMA;2017;HASTA LA ACTUALIDAD
160265;PARTIDO POLÍTICO PERU LIBRE;SECRETARIO DISTRITAL DE MAGDALENA;2016;HASTA LA ACTUALIDAD
159241;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;PRESIDENTE Y REPRESENTANTE LEGAL;2017;HASTA LA ACTUALIDAD
159241;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO NACIONAL DE ASUNTOS ELECTORALES;2007;2011
159243;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;1ER SUBSECRETARIO DISTRITAL DE SAN JUAN DE MIRAFLORES;2007;2010
159243;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO GENERAL DISTRITAL DE SAN JUAN DE MIRAFLORES;2011;2015
159246;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA GENERAL DEPARTAMENTAL DE LIMA;2011;2015
159246;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA NACIONAL DE ORGANIZACION;2017;HASTA LA ACTUALIDAD
159250;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SUB SECRETARIA NACIONAL DE FORMACIÓN Y CAPACITACIÓN;2018;2018
159251;PARTIDO POLÍTICO PARTIDO POLÍTICO CONTIGO;SECRETARIO NACIONAL DE IDEOLOGIA Y DOCTRINA;2015;2017
159251;PARTIDO POLÍTICO PARTIDO POLÍTICO CONTIGO;SECRETARIO NACIONAL DE DEFENSA DE ASUNTOS JURIDICOS Y DERECHOS HUMANOS;2015;2015
159252;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;MIEMBRO DEL TRIBUNAL NACIONAL ELECTORAL;2019;HASTA LA ACTUALIDAD
