ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_ELECCION;DESDE;HASTA
161006;MOVIMIENTO REGIONAL O DEPARTAMENTAL REGION PARA TODOS;REGIDOR PROVINCIAL;2014;2018
161078;PARTIDO POLÍTICO AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;VICEGOBERNADOR REGIONAL;2007;2010
161082;PARTIDO POLÍTICO AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;CONSEJERO REGIONAL;2007;2010
160654;PARTIDO POLÍTICO DEMOCRACIA DIRECTA;CONSEJERO REGIONAL;2015;2018
161074;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO DE INTEGRACION POR EL DESARROLLO REGIONAL (MI CASITA);CONSEJERO REGIONAL;2019;2019
161991;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO;REGIDOR PROVINCIAL;2011;2014
161884;MOVIMIENTO REGIONAL O DEPARTAMENTAL FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO;REGIDOR PROVINCIAL;2018;2018
159970;SIEMPRE UNIDOS;ALCADE(SA) DE CENTRO POBLADO;2012;2016
159971;LISTA INDEPENDIENTE;REGIDOR DISTRITAL;1995;1998
160159;PARTIDO POLÍTICO RESTAURACION NACIONAL;ALCALDE DISTRITAL;2015;2018
158887;MOVIMIENTO REGIONAL O DEPARTAMENTAL REFORMA REGIONAL ANDINA INTEGRACION, PARTICIPACION ECONOMICA Y S;CONSEJERO REGIONAL;2003;2006
161150;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;2019;HASTA LA ACTUALIDAD
157937;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR PROVINCIAL;2011;2014
157937;PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO;REGIDOR PROVINCIAL;2015;2018
157939;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;VICEGOBERNADOR REGIONAL;2002;2005
157939;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;GOBERNADOR REGIONAL;2005;2006
160585;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2016;2019
160585;FRENTE INDEPENDIENTE SOLIDARIDAD UCHICINA;REGIDOR DISTRITAL;1996;1998
158204;MOVIMIENTO REGIONAL O DEPARTAMENTAL NUEVA AMAZONIA;CONSEJERO REGIONAL;2011;2014
158049;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA COMUNAL;REGIDOR PROVINCIAL;2015;2018
159463;MOVIMIENTO REGIONAL O DEPARTAMENTAL NUEVA AMAZONIA;ALCALDE DISTRITAL;2007;2010
159148;ALIANZA ELECTORAL ALIANZA PARA EL PROGRESO DEL PERU;REGIDOR PROVINCIAL;2018;2018
158692;MOVIMIENTO REGIONAL O DEPARTAMENTAL NUEVA AMAZONIA;REGIDOR PROVINCIAL;2011;2014
