ID_CANDIDATO;UNIVERSIDAD;CARRERA;CONCLUIDO;BACHILLER;TITULO
161439;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;ADMINISTRACIÓN DE EMPRESAS;NO;NO;NO
161440;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;ECONOMÍA;SI;SI;SI
161441;UNIVERSIDAD   NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;CONTABILIDAD;SI;SI;SI
161441;UNIVERSIDAD ALAS PERUANAS;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
161442;UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR;ADMINISTRACIÓN DE EMPRESAS;SI;SI;SI
161443;UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA;CIENCIAS BIOLÓGICAS;NO;NO;NO
161443;UNIVERSIDAD PERUANA LOS ANDES DE HUANCAYO;DERECHO Y CIENCIAS POLÍTICAS;NO;NO;NO
161444;UNIVERSIDAD SAN IGNACIO DE LOYOLA;ADMINISTRACION DE EMPRESAS;SI;SI;NO
161445;UNIVERSIDAD NACIONAL DE INGENIERIA;INGENIERIA DE SISTEMAS;SI;SI;SI
161446;UNIVERSIDAD NACIONAL DE INGENIERÍA;INGENIERÍA TEXTIL;SI;NO;NO
161447;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;NUTRICIÓN;SI;SI;SI
161192;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;INGENIERÍA INDUSTRIAL;SI;SI;SI
161193;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO;SI;SI;SI
161194;INCA GARCILAZO DE LA VEGA;CIENCIAS ECONOMICAS;NO;NO;NO
161196;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
161197;UNIVERSIDAD DE LIMA;DERECHO;SI;SI;SI
161199;UNIVERSIDAD DE PIURA;DERECHO;SI;SI;SI
161200;UNIVERSIDAD DE SAN MARTÍN DE PORRES;DERECHO Y CIENCIA POLÍTICA;SI;SI;SI
161202;UNIVERSIDAD DE LIMA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
161203;SIMON BOLIVAR;CIENCIAS DE LA COMUNICACIÓN Y PUBLICIDAD;SI;NO;NO
161204;UNIVERSIDAD INCA GARCILASO DE LA VEGA;EDUCACIÓN;NO;NO;NO
161205;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO;SI;SI;SI
161206;UNIVERSIDAD CIENTÍFICA DEL SUR;ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES;SI;NO;NO
161207;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
161208;UNIVERSIDAD DE CIENCIAS APLICADAS;;NO;;
161209;UNIVERSIDAD NACIONAL FEDERICO  VILLAREAL;INGENIERÍA INDUSTRIAL;SI;SI;SI
161210;SAN MARTIN DE PORRES;DERECHO;SI;SI;SI
161211;UNIVERSIDAD DEL SALVADOR  BUENOS AIRES ARGENTINA;CIENCIAS POLITICAS;NO;NO;NO
